epoch,heap_bytes,heap_real_bytes,peak_bytes,peak_real_bytes
1788947314,855264,2097152,1066112,2097152
1788947316,990272,2097152,1073736,2097152
1788947318,855264,2097152,1066112,2097152
1788947320,855264,2097152,1066112,2097152
1788947322,855264,2097152,1066112,2097152
1788947324,855264,2097152,1066112,2097152
1788947326,990272,2097152,1073736,2097152
1788947328,855264,2097152,1066112,2097152
1788947331,990272,2097152,1073736,2097152
1788947333,855264,2097152,1066112,2097152
1788947335,990272,2097152,1073736,2097152
1788947337,855264,2097152,1066112,2097152
1788947339,990272,2097152,1073736,2097152
1788947341,990272,2097152,1073736,2097152
1788947343,990272,2097152,1073736,2097152
1788947345,855264,2097152,1066112,2097152
1788947347,855264,2097152,1066112,2097152
1788947349,855264,2097152,1066112,2097152
1788947351,990272,2097152,1073736,2097152
1788947353,855264,2097152,1066112,2097152
1788947355,855264,2097152,1066112,2097152
1788947357,855264,2097152,1066112,2097152
1788947359,990272,2097152,1073736,2097152
1788947361,990272,2097152,1073736,2097152
1788947363,990272,2097152,1073736,2097152
1788947365,990272,2097152,1073736,2097152
1788947367,855264,2097152,1066112,2097152
1788947369,855264,2097152,1066112,2097152
1788947371,855264,2097152,1066112,2097152
1788947373,990272,2097152,1073736,2097152
1788947375,855264,2097152,1066112,2097152
1788947377,990272,2097152,1073736,2097152
1788947379,990272,2097152,1073736,2097152
1788947381,855264,2097152,1066112,2097152
1788947383,855264,2097152,1066112,2097152
1788947385,990272,2097152,1073736,2097152
1788947387,855264,2097152,1066112,2097152
1788947389,855264,2097152,1066112,2097152
1788947391,990272,2097152,1073736,2097152
1788947393,990272,2097152,1073736,2097152
1788947396,990272,2097152,1073736,2097152
1788947398,990272,2097152,1073736,2097152
1788947400,855264,2097152,1066112,2097152
1788947402,990272,2097152,1073736,2097152
1788947404,855264,2097152,1066112,2097152
1788947406,990272,2097152,1073736,2097152
1788947408,990272,2097152,1073736,2097152
1788947410,855264,2097152,1066112,2097152
1788947412,990272,2097152,1073736,2097152
1788947414,990272,2097152,1073736,2097152
1788947416,855264,2097152,1066112,2097152
1788947418,990272,2097152,1073736,2097152
1788947420,990272,2097152,1073736,2097152
1788947422,855264,2097152,1066112,2097152
1788947424,855264,2097152,1066112,2097152
1788947426,990272,2097152,1073736,2097152
1788947428,990272,2097152,1073736,2097152
1788947430,990272,2097152,1073736,2097152
1788947432,855264,2097152,1066112,2097152
1788947434,990272,2097152,1073736,2097152
1788947436,855264,2097152,1066112,2097152
1788947438,855264,2097152,1066112,2097152
1788947440,990272,2097152,1073736,2097152
1788947442,990272,2097152,1073736,2097152
1788947444,990272,2097152,1073736,2097152
1788947446,990272,2097152,1073736,2097152
1788947448,990272,2097152,1073736,2097152
1788947450,990272,2097152,1073736,2097152
1788947452,855264,2097152,1066112,2097152
1788947454,990272,2097152,1073736,2097152
1788947457,855264,2097152,1066112,2097152
1788947459,990272,2097152,1073736,2097152
1788947461,990272,2097152,1073736,2097152
1788947463,990272,2097152,1073736,2097152
1788947465,990272,2097152,1073736,2097152
1788947467,990272,2097152,1073736,2097152
1788947469,855264,2097152,1066112,2097152
1788947471,990272,2097152,1073736,2097152
1788947473,990272,2097152,1073736,2097152
1788947475,990272,2097152,1073736,2097152
1788947477,990272,2097152,1073736,2097152
1788947479,990272,2097152,1073736,2097152
1788947481,990272,2097152,1073736,2097152
1788947483,990272,2097152,1073736,2097152
1788947485,990272,2097152,1073736,2097152
1788947487,990272,2097152,1073736,2097152
1788947489,855264,2097152,1066112,2097152
1788947491,990272,2097152,1073736,2097152
1788947493,990272,2097152,1073736,2097152
1788947495,990272,2097152,1073736,2097152
1788947497,990272,2097152,1073736,2097152
1788947499,990272,2097152,1073736,2097152
1788947501,990272,2097152,1073736,2097152
1788947503,990272,2097152,1073736,2097152
1788947505,990272,2097152,1073736,2097152
1788947507,855264,2097152,1066112,2097152
1788947509,855264,2097152,1066112,2097152
1788947511,990272,2097152,1073736,2097152
1788947513,990272,2097152,1073736,2097152
1788947516,855264,2097152,1066112,2097152
1788947518,855264,2097152,1066112,2097152
1788947520,990272,2097152,1073736,2097152
1788947522,990272,2097152,1073736,2097152
1788947524,990272,2097152,1073736,2097152
1788947526,990272,2097152,1073736,2097152
1788947528,990272,2097152,1073736,2097152
1788947530,990272,2097152,1073736,2097152
1788947532,855264,2097152,1066112,2097152
1788947534,990272,2097152,1073736,2097152
1788947536,855264,2097152,1066112,2097152
1788947538,855264,2097152,1066112,2097152
1788947540,990272,2097152,1073736,2097152
1788947542,990272,2097152,1073736,2097152
1788947544,990272,2097152,1073736,2097152
1788947546,855264,2097152,1066112,2097152
1788947548,855264,2097152,1066112,2097152
1788947550,855264,2097152,1066112,2097152
1788947552,990272,2097152,1073736,2097152
1788947554,855264,2097152,1066112,2097152
1788947556,990272,2097152,1073736,2097152
1788947558,990272,2097152,1073736,2097152
1788947560,990272,2097152,1073736,2097152
1788947562,855264,2097152,1066112,2097152
1788947564,990272,2097152,1073736,2097152
1788947566,855264,2097152,1066112,2097152
1788947568,855264,2097152,1066112,2097152
1788947570,990272,2097152,1073736,2097152
1788947572,990272,2097152,1073736,2097152
1788947575,990272,2097152,1073736,2097152
1788947577,855264,2097152,1066112,2097152
1788947579,990272,2097152,1073736,2097152
1788947581,990272,2097152,1073736,2097152
1788947583,990272,2097152,1073736,2097152
1788947585,990272,2097152,1073736,2097152
1788947587,990272,2097152,1073736,2097152
1788947589,990272,2097152,1073736,2097152
1788947591,990272,2097152,1073736,2097152
1788947593,990272,2097152,1073736,2097152
1788947595,855264,2097152,1066112,2097152
1788947597,990272,2097152,1073736,2097152
1788947599,990272,2097152,1073736,2097152
1788947601,990272,2097152,1073736,2097152
1788947603,855264,2097152,1066112,2097152
1788947605,990272,2097152,1073736,2097152
1788947607,990272,2097152,1073736,2097152
1788947609,855264,2097152,1066112,2097152
1788947611,855264,2097152,1066112,2097152
1788947613,990272,2097152,1073736,2097152
1788947615,990272,2097152,1073736,2097152
1788947617,990272,2097152,1073736,2097152
1788947619,990272,2097152,1073736,2097152
1788947621,855264,2097152,1066112,2097152
1788947623,990272,2097152,1073736,2097152
1788947625,990272,2097152,1073736,2097152
1788947627,855264,2097152,1066112,2097152
1788947629,855264,2097152,1066112,2097152
1788947631,990272,2097152,1073736,2097152
1788947634,990272,2097152,1073736,2097152
1788947636,990272,2097152,1073736,2097152
1788947638,855264,2097152,1066112,2097152
1788947640,990272,2097152,1073736,2097152
1788947642,990272,2097152,1073736,2097152
1788947644,990272,2097152,1073736,2097152
1788947646,990272,2097152,1073736,2097152
1788947648,990272,2097152,1073736,2097152
1788947650,990272,2097152,1073736,2097152
1788947652,855264,2097152,1066112,2097152
1788947654,990272,2097152,1073736,2097152
1788947656,990272,2097152,1073736,2097152
1788947658,855264,2097152,1066112,2097152
1788947660,990272,2097152,1073736,2097152
1788947662,990272,2097152,1073736,2097152
1788947664,855264,2097152,1066112,2097152
1788947666,990272,2097152,1073736,2097152
1788947668,990272,2097152,1073736,2097152
1788947670,855264,2097152,1066112,2097152
1788947672,990272,2097152,1073736,2097152
1788947674,855264,2097152,1066112,2097152
1788947676,855264,2097152,1066112,2097152
1788947678,855264,2097152,1066112,2097152
1788947680,990272,2097152,1073736,2097152
1788947682,990272,2097152,1073736,2097152
1788947684,855264,2097152,1066112,2097152
1788947686,855264,2097152,1066112,2097152
1788947688,990272,2097152,1073736,2097152
1788947691,990272,2097152,1073736,2097152
1788947693,855264,2097152,1066112,2097152
1788947695,990272,2097152,1073736,2097152
1788947697,990272,2097152,1073736,2097152
1788947699,855264,2097152,1066112,2097152
1788947701,990272,2097152,1073736,2097152
1788947703,990272,2097152,1073736,2097152
1788947705,855264,2097152,1066112,2097152
1788947707,990272,2097152,1073736,2097152
1788947709,990272,2097152,1073736,2097152
1788947711,990272,2097152,1073736,2097152
1788947713,990272,2097152,1073736,2097152
1788947715,855264,2097152,1066112,2097152
1788947717,990272,2097152,1073736,2097152
1788947719,855264,2097152,1066112,2097152
1788947721,855264,2097152,1066112,2097152
1788947723,990272,2097152,1073736,2097152
1788947725,855264,2097152,1066112,2097152
1788947727,990272,2097152,1073736,2097152
1788947729,990272,2097152,1073736,2097152
1788947731,990272,2097152,1073736,2097152
1788947733,990272,2097152,1073736,2097152
1788947735,855264,2097152,1066112,2097152
1788947737,855264,2097152,1066112,2097152
1788947739,990272,2097152,1073736,2097152
1788947741,990272,2097152,1073736,2097152
1788947743,855264,2097152,1066112,2097152
1788947745,990272,2097152,1073736,2097152
1788947748,990272,2097152,1073736,2097152
1788947750,990272,2097152,1073736,2097152
1788947752,990272,2097152,1073736,2097152
1788947754,990272,2097152,1073736,2097152
1788947756,990272,2097152,1073736,2097152
1788947758,990272,2097152,1073736,2097152
1788947760,855264,2097152,1066112,2097152
1788947762,855264,2097152,1066112,2097152
1788947764,990272,2097152,1073736,2097152
1788947766,990272,2097152,1073736,2097152
1788947768,855264,2097152,1066112,2097152
1788947770,990272,2097152,1073736,2097152
1788947772,990272,2097152,1073736,2097152
1788947774,990272,2097152,1073736,2097152
1788947776,855264,2097152,1066112,2097152
1788947778,855264,2097152,1066112,2097152
1788947780,990272,2097152,1073736,2097152
1788947782,990272,2097152,1073736,2097152
1788947784,990272,2097152,1073736,2097152
1788947786,855264,2097152,1066112,2097152
1788947788,855264,2097152,1066112,2097152
1788947790,855264,2097152,1066112,2097152
1788947792,990272,2097152,1073736,2097152
1788947794,855264,2097152,1066112,2097152
1788947796,855264,2097152,1066112,2097152
1788947798,855264,2097152,1066112,2097152
1788947800,855264,2097152,1066112,2097152
1788947802,990272,2097152,1073736,2097152
1788947804,990272,2097152,1073736,2097152
1788947807,855264,2097152,1066112,2097152
1788947809,990272,2097152,1073736,2097152
1788947811,990272,2097152,1073736,2097152
1788947813,990272,2097152,1073736,2097152
1788947815,990272,2097152,1073736,2097152
1788947817,990272,2097152,1073736,2097152
1788947819,990272,2097152,1073736,2097152
1788947821,855264,2097152,1066112,2097152
1788947823,990272,2097152,1073736,2097152
1788947825,990272,2097152,1073736,2097152
1788947827,990272,2097152,1073736,2097152
1788947829,990272,2097152,1073736,2097152
1788947831,990272,2097152,1073736,2097152
1788947833,990272,2097152,1073736,2097152
1788947835,855264,2097152,1066112,2097152
1788947837,855264,2097152,1066112,2097152
1788947839,855264,2097152,1066112,2097152
1788947841,990272,2097152,1073736,2097152
1788947843,990272,2097152,1073736,2097152
1788947845,855264,2097152,1066112,2097152
1788947847,990272,2097152,1073736,2097152
1788947849,855264,2097152,1066112,2097152
1788947851,990272,2097152,1073736,2097152
1788947853,990272,2097152,1073736,2097152
1788947855,990272,2097152,1073736,2097152
1788947857,990272,2097152,1073736,2097152
1788947859,990272,2097152,1073736,2097152
1788947861,990272,2097152,1073736,2097152
1788947864,990272,2097152,1073736,2097152
1788947866,855264,2097152,1066112,2097152
1788947868,990272,2097152,1073736,2097152
1788947870,990272,2097152,1073736,2097152
1788947872,990272,2097152,1073736,2097152
1788947874,990272,2097152,1073736,2097152
1788947876,990272,2097152,1073736,2097152
1788947878,855264,2097152,1066112,2097152
1788947880,990272,2097152,1073736,2097152
1788947882,855264,2097152,1066112,2097152
1788947884,855264,2097152,1066112,2097152
1788947886,990272,2097152,1073736,2097152
1788947888,990272,2097152,1073736,2097152
1788947890,855264,2097152,1066112,2097152
1788947892,990272,2097152,1073736,2097152
1788947894,855264,2097152,1066112,2097152
1788947896,990272,2097152,1073736,2097152
1788947898,990272,2097152,1073736,2097152
1788947900,855264,2097152,1066112,2097152
1788947902,990272,2097152,1073736,2097152
1788947904,990272,2097152,1073736,2097152
1788947906,855264,2097152,1066112,2097152
1788947908,990272,2097152,1073736,2097152
1788947910,855264,2097152,1066112,2097152
1788947912,855264,2097152,1066112,2097152
1788947914,990272,2097152,1073736,2097152
1788947916,855264,2097152,1066112,2097152
1788947918,855264,2097152,1066112,2097152
1788947920,990272,2097152,1073736,2097152
1788947923,990272,2097152,1073736,2097152
1788947925,855264,2097152,1066112,2097152
1788947927,990272,2097152,1073736,2097152
1788947929,990272,2097152,1073736,2097152
1788947931,990272,2097152,1073736,2097152
1788947933,855264,2097152,1066112,2097152
